slug,provider,offer,actionButtons,tag,description,price,planType,planName,starred,resourceTypes,provisioningMode,workloadTypes,hardware,interfaces,pricingUnit,minimumCommitment
aethir-earth,Aethir,Aethir Earth,"[""[Website](https://enterprise.aethir.com/)"",""[Docs](https://docs.aethir.com/aethir-cloud/aethir-cloud-customer/cloud-customer-portal-guide/aethir-earth)"",""[Pricing](https://enterprise.aethir.com/Pricing)""]","[""GPU cloud"",""Bare metal"",""AI""]","Decentralized bare-metal GPU cloud for AI training, fine-tuning, inference, and other compute-intensive workloads.",[Pricing](https://enterprise.aethir.com/Pricing),Dedicated,Earth,FALSE,"[""gpu""]",bare_metal,"[""general_compute"",""ai_inference"",""ai_training""]","[""NVIDIA A100"",""NVIDIA H100""]","[""web""]",hour,1 week
akash-compute-marketplace,Akash Network,Akash Compute Marketplace,"[""[Website](https://akash.network/)"",""[Docs](https://akash.network/docs/learn/core-concepts/deployments/)"",""[GPU Pricing](https://akash.network/pricing/gpus/)""]","[""Decentralized cloud"",""GPU cloud"",""Compute marketplace""]",Decentralized compute marketplace for containerized CPU/GPU deployments where providers bid to host requested resources.,[GPU pricing](https://akash.network/pricing/gpus/),Pay-as-you-go,,FALSE,"[""cpu"",""gpu""]",marketplace,"[""general_compute"",""ai_inference"",""ai_training"",""rendering"",""batch"",""scientific""]","[""RTX 3090"",""RTX 4080"",""RTX 4090"",""A6000 48GB"",""A100 40GB"",""A100 80GB"",""H100 80GB""]","[""web"",""api"",""cli"",""docker""]",market-based,
io-net-vm-on-demand,io.net,VM on Demand,"[""[Website](https://io.net/)"",""[Docs](https://io.net/docs/guides/clouds/deploy-vm-on-demand)"",""[API](https://io.net/docs/reference/vmaas/example-deploying-using-APIs)""]","[""GPU cloud"",""Virtual machines"",""AI""]","On-demand GPU-accelerated virtual machines for AI and machine-learning workloads, with CPU resources included and programmatic deployment APIs available.",[Deployment pricing API](https://io.net/docs/reference/vmaas/example-deploying-using-APIs),Pay-as-you-go,VM on Demand,FALSE,"[""cpu"",""gpu""]",vm,"[""general_compute"",""ai_inference"",""ai_training"",""batch""]",,"[""web"",""api"",""docker""]",hour,1 hour
