slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
rarible,Rarible,Rarible NFT API and SDK,"[""[Docs](https://docs.rarible.org/)"",""[Supported Chains](https://docs.rarible.org/docs/supported-chains)""]",NFT,"[""Rarible SDK"",""Rarible Protocol"",""Multichain SDK"",""NFT API"",""NFT Development""]",Custom,Enterprise,,"Multichain NFT APIs, SDKs, and smart contracts for minting, metadata, discovery, trading, marketplace aggregation, analytics, and royalties",FALSE
unlock-protocol,Unlock Protocol,Unlock Protocol,"[""[Docs](https://docs.unlock-protocol.com/core-protocol/public-lock/)"",""[Token Gating Guide](https://docs.unlock-protocol.com/tutorials/building-token-gated-applications)"",""[Networks](https://docs.unlock-protocol.com/core-protocol/unlock/networks)""]",NFT,"[""Membership"",""Subscriptions"",""Smart Contracts"",""Token Gating""]",Custom,Pay-as-you-go,Subscription,"Open-source protocol and developer tooling for ERC-721 memberships, subscriptions, renewals, and token-gated access",FALSE
